Hit List: Data Accesses External / ...

	Hits	Gross [microsec]	Net [microsec]	Gross [%]	Net [%]	Statement/Event	Program Called	Calling Program
	  1	             39	           39	    <0.01	  <0.01	DB: Fetch /SAPAPO/MARM	/SAPAPO/SAPLDM_MATERIAL	/SAPAPO/SAPLDM_MATERIAL
	  9	             39	           39	    <0.01	  <0.01	DB: Fetch TCVPROF	SAPLPC32	SAPLPC32
	  1	             34	           34	    <0.01	  <0.01	DB: Fetch V_MARC_MD_PER	CL_NSDM_SELECT_MARC===========CP	CL_NSDM_SELECT_MARC===========CP
	  2	             33	           33	    <0.01	  <0.01	DB: Open ISEGO1	SAPLOIB_MM	SAPLOIB_MM
	  1	             33	           33	    <0.01	  <0.01	DB: Fetch /SAPAPO/MARM	/SAPAPO/SAPLDM_MATERIAL	/SAPAPO/SAPLDM_MATERIAL
	  3	             33	           33	    <0.01	  <0.01	DB: Fetch MCH1	SAPLV01P	SAPLV01P
	  1	             32	           32	    <0.01	  <0.01	DB: Fetch V_MBEW_MD	SAPLMG27	SAPLMG27
	  1	             31	           31	    <0.01	  <0.01	DB: Fetch CABNZ	SAPLCLSE	SAPLCLSE
	  1	             30	           30	    <0.01	  <0.01	DB: Fetch /SCWM/STOCK_IW02	/LIME/SAPLQUERY	/LIME/SAPLQUERY
	  1	             30	           30	    <0.01	  <0.01	DB: Fetch DD02T	RADBTDDF	RADBTDDF
	  9	             30	           30	    <0.01	  <0.01	DB: Fetch TCVPROFT	SAPLPC32	SAPLPC32
	  1	             29	           29	    <0.01	  <0.01	DB: Fetch MCH1	CL_VB_BATCH_UTIL==============CP	CL_VB_BATCH_UTIL==============CP
	  2	             28	           28	    <0.01	  <0.01	DB: Fetch MCHA	SAPLV01P	SAPLV01P
	  1	             27	           27	    <0.01	  <0.01	DB: Fetch V_MBEW_MD	CL_MBV_SELECT_MBEW============CP	CL_MBV_SELECT_MBEW============CP
	  1	             27	           27	    <0.01	  <0.01	DB: Fetch NSDM_V_MARD_AGG	CL_NSDM_SELECT_MARD===========CP	CL_NSDM_SELECT_MARD===========CP
	 10	             25	           25	    <0.01	  <0.01	DB: Exec Static	/SCWM/R_INITIALSTOCKUPLOAD	/SCWM/R_INITIALSTOCKUPLOAD
	  1	             25	           25	    <0.01	  <0.01	DB: Fetch DD02L	RADBTDDF	RADBTDDF
	  1	             25	           25	    <0.01	  <0.01	DB: Fetch V_MBEWH_MD	SAPLMG27	SAPLMG27
	  5	             24	           24	    <0.01	  <0.01	DB: Open V_MBEW_MD	/SCWM/CL_ERP_PI_S4============CP	/SCWM/CL_ERP_PI_S4============CP
	  6	             24	           24	    <0.01	  <0.01	DB: Open RFCCBWHITELIST	CL_DEST_RFC===================CP	CL_DEST_RFC===================CP
	  1	             24	           24	    <0.01	  <0.01	DB: Fetch CAWN	SAPLCLSE	SAPLCLSE
	  1	             24	           24	    <0.01	  <0.01	DB: Fetch /SAPAPO/MATLWH	/SAPAPO/SAPLMAT_MASTER	/SAPAPO/SAPLMAT_MASTER
	 10	             24	           24	    <0.01	  <0.01	DB: Exec Static	/SCWM/CL_HUID_SERVICE=========CP	/SCWM/CL_HUID_SERVICE=========CP
	  1	             22	           22	    <0.01	  <0.01	DB: Fetch /SAPAPO/MATKEY	/SAPAPO/SAPLDM_MATERIAL	/SAPAPO/SAPLDM_MATERIAL
	  1	             21	           21	    <0.01	  <0.01	DB: Fetch CAWNT	SAPLCLSE	SAPLCLSE
	  3	             21	           21	    <0.01	  <0.01	DB: Fetch RFCDES	CL_DEST_ROOT==================CP	CL_DEST_ROOT==================CP
	  1	             20	           20	    <0.01	  <0.01	DB: Fetch NSDM_V_MCHB_DIFF	CL_NSDM_SELECT_MCHB===========CP	CL_NSDM_SELECT_MCHB===========CP
	  1	             20	           20	    <0.01	  <0.01	DB: Fetch V_ML_ACDOC_EX_UL	CL_FML_ACDOCA_M_EXTRACT_UTIL==CP	CL_FML_ACDOCA_M_EXTRACT_UTIL==CP
	  1	             20	           20	    <0.01	  <0.01	DB: Fetch DD04L	RADBTDDF	RADBTDDF
	  1	             20	           20	    <0.01	  <0.01	DB: Fetch INDX	SAPLKEFT	SAPLKEFT
	  4	             20	           20	    <0.01	  <0.01	DB: Fetch MARA	SAPLV01Z	SAPLV01Z
	  1	             20	           20	    <0.01	  <0.01	DB: Fetch /SAPAPO/MATEXEC	/SAPAPO/SAPLDM_MATERIAL	/SAPAPO/SAPLDM_MATERIAL
	  1	             19	           19	    <0.01	  <0.01	DB: Fetch /SAPAPO/MATPACK	/SAPAPO/SAPLDM_MATERIAL	/SAPAPO/SAPLDM_MATERIAL
	  1	             19	           19	    <0.01	  <0.01	DB: Fetch EVTB_PRODUCER	CL_RAP_EVENT_BINDING==========CP	CL_RAP_EVENT_BINDING==========CP
	  1	             19	           19	    <0.01	  <0.01	DB: Fetch MCHA	SAPLMATL	SAPLMATL
	  1	             19	           19	    <0.01	  <0.01	DB: Fetch /SAPAPO/MATTXT	/SAPAPO/SAPLDM_MATERIAL	/SAPAPO/SAPLDM_MATERIAL
	  1	             18	           18	    <0.01	  <0.01	DB: Fetch DD01L	SAPLSDDO	SAPLSDDO
	  1	             18	           18	    <0.01	  <0.01	DB: Fetch V_MBEW_MD	SAPLMG27	SAPLMG27
	  1	             18	           18	    <0.01	  <0.01	DB: Fetch ARBCIG_TVARV	CL_ARBCIG_ADAPTER_FRAMEWORK===CP	CL_ARBCIG_ADAPTER_FRAMEWORK===CP
	 10	             17	           17	    <0.01	  <0.01	DB: Exec Static	SAPLSNR3	SAPLSNR3
	  1	             17	           17	    <0.01	  <0.01	DB: Fetch CKMLHD	SAPLCKMS	SAPLCKMS
	  1	             17	           17	    <0.01	  <0.01	DB: Exec Static	SAPLSBAL_DISPLAY_BASE	SAPLSBAL_DISPLAY_BASE
	  1	             17	           17	    <0.01	  <0.01	DB: Fetch SWFDEVTYP	CL_SWF_EVT_TYPE_LINKAGE=======CP	CL_SWF_EVT_TYPE_LINKAGE=======CP
	  1	             17	           17	    <0.01	  <0.01	DB: Fetch MBEW	SAPLMCB1	SAPLMCB1
	  3	             17	           17	    <0.01	  <0.01	DB: Fetch DD02T	/SYCLO/CL_CORE_BOM_EXCHOBJ====CP	/SYCLO/CL_CORE_BOM_EXCHOBJ====CP
	  2	             17	           17	    <0.01	  <0.01	DB: Fetch V_MCHB_MD_PER	CL_NSDM_SELECT_MCHB===========CP	CL_NSDM_SELECT_MCHB===========CP
	  1	             16	           16	    <0.01	  <0.01	DB: Fetch MCH1	SAPLMATL	SAPLMATL
	  9	             16	           16	    <0.01	  <0.01	DB: Fetch TRNSPACEL	/SYCLO/CL_CORE_WD_TOOLS=======CP	/SYCLO/CL_CORE_WD_TOOLS=======CP
	 10	             16	           16	    <0.01	  <0.01	DB: Exec Static	/SCWM/CL_SERIAL_BAS_S4========CP	/SCWM/CL_SERIAL_BAS_S4========CP
	  4	             15	           15	    <0.01	  <0.01	DB: Open /SYCLO/MDW00	/SMFND/CL_CORE_EXOBJ_TOOLS====CP	/SMFND/CL_CORE_EXOBJ_TOOLS====CP
	  3	             15	           15	    <0.01	  <0.01	DB: Fetch REPOLOAD	/SCWM/SAPLHUFUNC_BASIC	/SCWM/SAPLHUFUNC_BASIC
	  1	             15	           15	    <0.01	  <0.01	DB: Fetch DD04T	RADBTDDF	RADBTDDF
	  2	             15	           15	    <0.01	  <0.01	DB: Fetch MARV	SAPLMG05	SAPLMG05
	  1	             15	           15	    <0.01	  <0.01	DB: Fetch KLAH	SAPLCLSE	SAPLCLSE
	  1	             15	           15	    <0.01	  <0.01	DB: Fetch V_MCHB_MD_PER	CL_NSDM_SELECT_MCHB===========CP	CL_NSDM_SELECT_MCHB===========CP
	  2	             14	           14	    <0.01	  <0.01	DB: Open /SCDL/DB_PROCH_I	/MERP/CL_EWM_DLV_EX_HNDLR=====CP	/MERP/CL_EWM_DLV_EX_HNDLR=====CP
	  2	             14	           14	    <0.01	  <0.01	DB: Fetch NSDM_V_MCHB_DIFF	CL_NSDM_SELECT_MCHB===========CP	CL_NSDM_SELECT_MCHB===========CP
	  3	             14	           14	    <0.01	  <0.01	DB: Fetch FTG_HEADER	CL_FTG========================CP	CL_FTG========================CP
	  3	             14	           14	    <0.01	  <0.01	DB: Fetch RFCATTRIB	CL_DEST_ROOT==================CP	CL_DEST_ROOT==================CP
	  4	             14	           14	    <0.01	  <0.01	DB: Exec Static	/SCWM/R_INITIALSTOCKUPLOAD	/SCWM/R_INITIALSTOCKUPLOAD
	  1	             14	           14	    <0.01	  <0.01	DB: Fetch REPOSRC	SAPLSBAL_DISPLAY_BASE	SAPLSBAL_DISPLAY_BASE
	  9	             14	           14	    <0.01	  <0.01	DB: Close USOBX_C	ZCL_JVA_FI_DOC_DFTCO_IMP======CP	ZCL_JVA_FI_DOC_DFTCO_IMP======CP
	  9	             13	           13	    <0.01	  <0.01	DB: Close TCVPROF	SAPLPC32	SAPLPC32
	  1	             13	           13	    <0.01	  <0.01	DB: Open DD12L	RADBTDDF	RADBTDDF
	  2	             12	           12	    <0.01	  <0.01	DB: Open ACDOCA_M_EXTRACT	CL_FML_ACDOCA_M_EXTRACT_UTIL==CP	CL_FML_ACDOCA_M_EXTRACT_UTIL==CP
	  5	             12	           12	    <0.01	  <0.01	DB: Fetch V_MBEW_MD	/SCWM/CL_ERP_PI_S4============CP	/SCWM/CL_ERP_PI_S4============CP
	  1	             12	           12	    <0.01	  <0.01	DB: Fetch BUT000	SAPLBUPA_SELECT	SAPLBUPA_SELECT
	  9	             12	           12	    <0.01	  <0.01	DB: Close TRNSPACEL	/SYCLO/CL_CORE_WD_TOOLS=======CP	/SYCLO/CL_CORE_WD_TOOLS=======CP
	  2	             12	           12	    <0.01	  <0.01	DB: Fetch IPRDVALBASIC	YCL_MB_MIGO_BADI_LOGIC========CP	YCL_MB_MIGO_BADI_LOGIC========CP
	  3	             12	           12	    <0.01	  <0.01	DB: Fetch RFCDOC	CL_DEST_ROOT==================CP	CL_DEST_ROOT==================CP
	  1	             11	           11	    <0.01	  <0.01	DB: Open USR02	SAPLSUU1	SAPLSUU1
	  2	             11	           11	    <0.01	  <0.01	DB: Open ZI_CONSTANTPARAMETERSF	ZCL_DEFAULT_HT_GOODSMVT_CREATECP	ZCL_DEFAULT_HT_GOODSMVT_CREATECP
	  2	             11	           11	    <0.01	  <0.01	DB: Open /SYCLO/CA003M	/SYCLO/CB_CORE_PERS_CA003M====CP	/SYCLO/CB_CORE_PERS_CA003M====CP
	  2	             11	           11	    <0.01	  <0.01	DB: Open /SMFND/C_DFA01	/SMFND/CL_SDF_BOM_DFAGENT_CFG=CP	/SMFND/CL_SDF_BOM_DFAGENT_CFG=CP
	  2	             11	           11	    <0.01	  <0.01	DB: Open /SYCLO/CA002F	/SYCLO/CB_CORE_PERS_CA002F====CP	/SYCLO/CB_CORE_PERS_CA002F====CP
	  2	             10	           10	    <0.01	  <0.01	DB: Fetch /MERP/EWM_HU_EX	/SYCLO/CL_CORE_EX_HANDLER_BASECP	/SYCLO/CL_CORE_EX_HANDLER_BASECP
	  2	             10	           10	    <0.01	  <0.01	DB: Open /SYCLO/CA003D	/SYCLO/CB_CORE_PERS_CA003D====CP	/SYCLO/CB_CORE_PERS_CA003D====CP
	  2	             10	           10	    <0.01	  <0.01	DB: Fetch MCHA	SAPFM07M	SAPFM07M
	  9	             10	           10	    <0.01	  <0.01	DB: Close TCVPROFT	SAPLPC32	SAPLPC32
	  2	             10	           10	    <0.01	  <0.01	DB: Fetch SUSAGEMANAGEMENT	SAPLSUSAGE_LOGGING	SAPLSUSAGE_LOGGING
	  2	             10	           10	    <0.01	  <0.01	DB: Open /SYCLO/CA003	/SYCLO/CB_CORE_PERS_CA003=====CP	/SYCLO/CB_CORE_PERS_CA003=====CP
	  2	             10	           10	    <0.01	  <0.01	DB: Fetch IPRODUCT	YCL_MB_MIGO_BADI_LOGIC========CP	YCL_MB_MIGO_BADI_LOGIC========CP
	  2	             10	           10	    <0.01	  <0.01	DB: Open /SYCLO/CA002L	/SYCLO/CB_CORE_PERS_CA002L====CP	/SYCLO/CB_CORE_PERS_CA002L====CP
	  2	             10	           10	    <0.01	  <0.01	DB: Open T8J156X	SAPLGJAT	SAPLGJAT
	  6	             10	           10	    <0.01	  <0.01	DB: Close USOBX_C	ZCL_MIGO_BADI_HT_MODIFY=======CP	ZCL_MIGO_BADI_HT_MODIFY=======CP
	  2	              9	            9	    <0.01	  <0.01	DB: Open IMMPOITEMAPI01	ZCL_MB_CHECK_LINE_SLED_LOGIC==CP	ZCL_MB_CHECK_LINE_SLED_LOGIC==CP
	  5	              9	            9	    <0.01	  <0.01	DB: Close V_MBEW_MD	/SCWM/CL_ERP_PI_S4============CP	/SCWM/CL_ERP_PI_S4============CP
	  2	              9	            9	    <0.01	  <0.01	DB: Fetch CKMLKEV	SAPLMLCCS_CUSTOMIZING	SAPLMLCCS_CUSTOMIZING
	  7	              9	            9	    <0.01	  <0.01	DB: Exec Static	CL_SUID_USER_ATTRIBUTES=======CP	CL_SUID_USER_ATTRIBUTES=======CP
	  1	              9	            9	    <0.01	  <0.01	DB: Fetch PROGDIR	/SCWM/CL_TM_TOOLS=============CP	/SCWM/CL_TM_TOOLS=============CP
	  2	              9	            9	    <0.01	  <0.01	DB: Fetch IPRODUCT	YCL_MB_MIGO_BADI_LOGIC========CP	YCL_MB_MIGO_BADI_LOGIC========CP
	  1	              9	            9	    <0.01	  <0.01	DB: Fetch CKMLPP	CL_FML_SHORTLOCK_UTIL=========CP	CL_FML_SHORTLOCK_UTIL=========CP
	  1	              9	            9	    <0.01	  <0.01	DB: Fetch /SCWM/LAGP	/SCWM/SAPLBIN_FUNC	/SCWM/SAPLBIN_FUNC
	  2	              8	            8	    <0.01	  <0.01	DB: Open /SMFND/YC_DFA01	/SMFND/CL_SDF_BOM_DFAGENT_CFG=CP	/SMFND/CL_SDF_BOM_DFAGENT_CFG=CP
	  5	              8	            8	    <0.01	  <0.01	DB: Close UST12	ZCL_DEFAULT_HT_GOODSMVT_CREATECP	ZCL_DEFAULT_HT_GOODSMVT_CREATECP
	  2	              8	            8	    <0.01	  <0.01	DB: Open /SYCLO/YCA003M	/SYCLO/CL_CORE_BOM_EXCHOBJ====CP	/SYCLO/CL_CORE_BOM_EXCHOBJ====CP
	  2	              8	            8	    <0.01	  <0.01	DB: Open OIB_DEFAULTS	SAPLOIB_QCI	SAPLOIB_QCI
	  2	              8	            8	    <0.01	  <0.01	DB: Open /SYCLO/YCA002F	/SYCLO/CL_CORE_BOM_EXCHOBJ====CP	/SYCLO/CL_CORE_BOM_EXCHOBJ====CP
	  2	              8	            8	    <0.01	  <0.01	DB: Open ISEGO2	SAPLOIB_MM	SAPLOIB_MM
	  2	              8	            8	    <0.01	  <0.01	DB: Open YI_ZERO_PRICE_MAINT	YCL_MB_MIGO_BADI_LOGIC========CP	YCL_MB_MIGO_BADI_LOGIC========CP
	  2	              8	            8	    <0.01	  <0.01	DB: Fetch DD02L	/SYCLO/SAPLUPD_CORE	/SYCLO/SAPLUPD_CORE
	  2	              8	            8	    <0.01	  <0.01	DB: Open IPRODUCT	ZCL_VALIDATE_MATDOC===========CP	ZCL_VALIDATE_MATDOC===========CP
	  4	              8	            8	    <0.01	  <0.01	DB: Close USOBX_C	SAPLCTMS	SAPLCTMS
	  2	              8	            8	    <0.01	  <0.01	DB: Fetch IPRDSUPPLYPLAN	YCL_MB_MIGO_BADI_LOGIC========CP	YCL_MB_MIGO_BADI_LOGIC========CP
	  4	              8	            8	    <0.01	  <0.01	DB: Fetch FCLMGLACCOUNTBAMACCOUNT	CL_FQM_ACCOUNT_GENERATE=======CP	CL_FQM_ACCOUNT_GENERATE=======CP
	  1	              8	            8	    <0.01	  <0.01	DB: Exec Static	CL_NSDM_STOCK=================CP	CL_NSDM_STOCK=================CP
	  1	              8	            8	    <0.01	  <0.01	DB: Exec Static	CL_EAM_PROCMTMLST_INTEGRATION=CP	CL_EAM_PROCMTMLST_INTEGRATION=CP
	  1	              8	            8	    <0.01	  <0.01	DB: Exec Static	CL_DEST_ROOT==================CP	CL_DEST_ROOT==================CP
	  1	              7	            7	    <0.01	  <0.01	DB: Open DRAD	SAPLCVOB	SAPLCVOB
	  3	              7	            7	    <0.01	  <0.01	DB: Close FTG_HEADER	CL_FTG========================CP	CL_FTG========================CP
	  6	              7	            7	    <0.01	  <0.01	DB: Close RFCCBWHITELIST	CL_DEST_RFC===================CP	CL_DEST_RFC===================CP
	  1	              7	            7	    <0.01	  <0.01	DB: Exec Static	CL_ABAP_BEHV_EJOB=============CP	CL_ABAP_BEHV_EJOB=============CP
	  1	              7	            7	    <0.01	  <0.01	DB: Fetch /SCWM/THARSERPRO	/SCWM/CL_SERIAL_BAS_S4========CP	/SCWM/CL_SERIAL_BAS_S4========CP
	  2	              7	            7	    <0.01	  <0.01	DB: Open YI_PLANT_NODETYPE_RESTRICTION	YCL_MB_MIGO_BADI_LOGIC========CP	YCL_MB_MIGO_BADI_LOGIC========CP
	  1	              7	            7	    <0.01	  <0.01	DB: Open V_MARC_MD	CL_NSDM_SELECT_MARC===========CP	CL_NSDM_SELECT_MARC===========CP
	  1	              7	            7	    <0.01	  <0.01	DB: Open /SYCLO/CA000ST	/SYCLO/CL_CORE_BOM_MOBILEAPP==CP	/SYCLO/CL_CORE_BOM_MOBILEAPP==CP
	  3	              7	            7	    <0.01	  <0.01	DB: Fetch /SAPAPO/MATGROUP	/SCWM/CL_AF_MATERIAL_BASE_S4==CP	/SCWM/CL_AF_MATERIAL_BASE_S4==CP
	  1	              7	            7	    <0.01	  <0.01	DB: Open APOC_I_OBJTCNF_V	CL_APOC_OUTPUT_TYPE_CONFIG====CP	CL_APOC_OUTPUT_TYPE_CONFIG====CP
	  1	              6	            6	    <0.01	  <0.01	DB: Open /SYCLO/YCA000ST	/SYCLO/CL_CORE_BOM_MOBILEAPP==CP	/SYCLO/CL_CORE_BOM_MOBILEAPP==CP
	  3	              6	            6	    <0.01	  <0.01	DB: Close RFCDES	CL_DEST_ROOT==================CP	CL_DEST_ROOT==================CP
	  2	              6	            6	    <0.01	  <0.01	DB: Open /SYCLO/YCA002L	/SYCLO/CL_CORE_BOM_EXCHOBJ====CP	/SYCLO/CL_CORE_BOM_EXCHOBJ====CP
	  2	              6	            6	    <0.01	  <0.01	DB: Open /SYCLO/YCA003	/SYCLO/CL_CORE_BOM_EXCHOBJ====CP	/SYCLO/CL_CORE_BOM_EXCHOBJ====CP
	  1	              6	            6	    <0.01	  <0.01	DB: Open NRIV	SAPLSNR1	SAPLSNR1
	  3	              6	            6	    <0.01	  <0.01	DB: Fetch KLAT	SAPLCLSE	SAPLCLSE
	  1	              6	            6	    <0.01	  <0.01	DB: Fetch NRIVSHADOW	SAPLSNR3	SAPLSNR3
	  1	              6	            6	    <0.01	  <0.01	DB: Open USR21	SAPLSUU1	SAPLSUU1
	  1	              6	            6	    <0.01	  <0.01	DB: Fetch ZI_CONSTANTPARAMETERSF	SAPLZFG_TAX_GL	SAPLZFG_TAX_GL
	  3	              6	            6	    <0.01	  <0.01	DB: Fetch RFCCHECK	CL_DEST_RFC_ABAP_PARENT=======CP	CL_DEST_RFC_ABAP_PARENT=======CP
	  3	              6	            6	    <0.01	  <0.01	DB: Fetch RFCDESSECU	CL_DEST_RFC===================CP	CL_DEST_RFC===================CP
	  3	              6	            6	    <0.01	  <0.01	DB: Close MCH1	SAPLV01P	SAPLV01P
	  1	              6	            6	    <0.01	  <0.01	DB: Open USR01	SAPLSUU1	SAPLSUU1
	  3	              6	            6	    <0.01	  <0.01	DB: Fetch INOB	SAPLCLFC	SAPLCLFC
	  4	              6	            6	    <0.01	  <0.01	DB: Close MARA	SAPLV01Z	SAPLV01Z
	  2	              5	            5	    <0.01	  <0.01	DB: Fetch MEAN	SAPLMG37	SAPLMG37
	  3	              5	            5	    <0.01	  <0.01	DB: Close USOBX_C	ZCL_JVA_FI_DOC_DFTCO_IMP======CP	ZCL_JVA_FI_DOC_DFTCO_IMP======CP
	  1	              5	            5	    <0.01	  <0.01	DB: Fetch IMAINTPLNGBKT	CL_EAM_PROCMTMLST_INTEGRATION=CP	CL_EAM_PROCMTMLST_INTEGRATION=CP
	  1	              5	            5	    <0.01	  <0.01	DB: Fetch MARC	SAPMM07M	SAPMM07M
	  1	              5	            5	    <0.01	  <0.01	DB: Fetch FCLM_BSEG_DELTA	CL_FCLM_FB2_TOOLS=============CP	CL_FCLM_FB2_TOOLS=============CP
	  4	              5	            5	    <0.01	  <0.01	DB: Close USOBX_C	ZCL_OIL_MATERIAL_PROCESS======CP	ZCL_OIL_MATERIAL_PROCESS======CP
	  1	              5	            5	    <0.01	  <0.01	DB: Fetch /OPT/CP_DEBUG	SAPLZFG_DUPAI_CTRL_FUNCTION	SAPLZFG_DUPAI_CTRL_FUNCTION
	  3	              5	            5	    <0.01	  <0.01	DB: Close DD02T	/SYCLO/CL_CORE_BOM_EXCHOBJ====CP	/SYCLO/CL_CORE_BOM_EXCHOBJ====CP
	  3	              5	            5	    <0.01	  <0.01	DB: Close KLAT	SAPLCLSE	SAPLCLSE
	  1	              5	            5	    <0.01	  <0.01	DB: Fetch NRIV	SAPLSNR3	SAPLSNR3
	  3	              5	            5	    <0.01	  <0.01	DB: Close RFCDESSECU	CL_DEST_RFC===================CP	CL_DEST_RFC===================CP
	  2	              5	            5	    <0.01	  <0.01	DB: Fetch USOBX_C	ZCL_JVA_FI_DOC_DFTCO_IMP======CP	ZCL_JVA_FI_DOC_DFTCO_IMP======CP
	  4	              5	            5	    <0.01	  <0.01	DB: Close /SYCLO/MDW00	/SMFND/CL_CORE_EXOBJ_TOOLS====CP	/SMFND/CL_CORE_EXOBJ_TOOLS====CP
	  3	              5	            5	    <0.01	  <0.01	DB: Fetch INOB	SAPLCLFC	SAPLCLFC
	  2	              5	            5	    <0.01	  <0.01	DB: Fetch MSTB	SAPLMATL	SAPLMATL
	  2	              5	            5	    <0.01	  <0.01	DB: Open /SYCLO/YCA003D	/SYCLO/CL_CORE_BOM_EXCHOBJ====CP	/SYCLO/CL_CORE_BOM_EXCHOBJ====CP
	  3	              5	            5	    <0.01	  <0.01	DB: Fetch INOB	SAPLCLFC	SAPLCLFC
	  2	              5	            5	    <0.01	  <0.01	DB: Fetch /SCWM/HUHDR	/MERP/SAPLEFI_UPD_WM	/MERP/SAPLEFI_UPD_WM
	  1	              5	            5	    <0.01	  <0.01	DB: Fetch /SCWM/SERH2	/SCWM/CL_SERIAL_DB============CP	/SCWM/CL_SERIAL_DB============CP
	  3	              5	            5	    <0.01	  <0.01	DB: Close INOB	SAPLCLFC	SAPLCLFC
	  1	              5	            5	    <0.01	  <0.01	DB: Fetch USR02	CL_SUSR_AUTHORIZATIONS========CP	CL_SUSR_AUTHORIZATIONS========CP
	  1	              5	            5	    <0.01	  <0.01	DB: Fetch D1GEN	SAPLSBAL_DISPLAY_BASE	SAPLSBAL_DISPLAY_BASE
	  5	              5	            5	    <0.01	  <0.01	DB: Close V_MBEW_MD	/SCWM/CL_ERP_PI_S4============CP	/SCWM/CL_ERP_PI_S4============CP
	  1	              5	            5	    <0.01	  <0.01	DB: Fetch /UTGFR/RS_FLAG	/UTGFR/CL_DERIVE_FERCACC======CP	/UTGFR/CL_DERIVE_FERCACC======CP
	  1	              5	            5	    <0.01	  <0.01	DB: Fetch FQMC_ACT_FI	CL_FCLM_FB2_RUNTIME_CONTEXT===CP	CL_FCLM_FB2_RUNTIME_CONTEXT===CP
	  2	              5	            5	    <0.01	  <0.01	DB: Close MARM	SAPLMG25	SAPLMG25
	  2	              4	            4	    <0.01	  <0.01	DB: Close MAKT	SAPLMG23	SAPLMG23
	  2	              4	            4	    <0.01	  <0.01	DB: Close MARA	/SCWM/CL_AF_MATERIAL_BASE_S4==CP	/SCWM/CL_AF_MATERIAL_BASE_S4==CP
	  1	              4	            4	    <0.01	  <0.01	DB: Fetch IFICONTAREA	ZCL_JVA_LINE_ITEM_VALIDATE====CP	ZCL_JVA_LINE_ITEM_VALIDATE====CP
	  1	              4	            4	    <0.01	  <0.01	DB: Fetch TFIN_FLAGS	CL_FINS_ACDOC_POSTING_EVENTS==CP	CL_FINS_ACDOC_POSTING_EVENTS==CP
	  3	              4	            4	    <0.01	  <0.01	DB: Close /SAPAPO/MATGROUP	/SCWM/CL_AF_MATERIAL_BASE_S4==CP	/SCWM/CL_AF_MATERIAL_BASE_S4==CP
	  1	              4	            4	    <0.01	  <0.01	DB: Open CKMLMV001	SAPLCKMLMVBUFFER	SAPLCKMLMVBUFFER
	  2	              4	            4	    <0.01	  <0.01	DB: Close /SAPAPO/MATKEY	/SAPAPO/SAPLDM_MATERIAL	/SAPAPO/SAPLDM_MATERIAL
	  2	              4	            4	    <0.01	  <0.01	DB: Fetch ZI_USR05	ZCL_MB_CHECK_LINE_LOGIC=======CP	ZCL_MB_CHECK_LINE_LOGIC=======CP
	  1	              4	            4	    <0.01	  <0.01	DB: Fetch ALE_BATCHES_SENT	SAPLVBWP	SAPLVBWP
	  1	              4	            4	    <0.01	  <0.01	DB: Fetch ALE_BATCHES_RECP	SAPLVBWP	SAPLVBWP
	  2	              4	            4	    <0.01	  <0.01	DB: Fetch INOB	SAPLV01P	SAPLV01P
	  1	              4	            4	    <0.01	  <0.01	DB: Fetch FCLM_MM_DELTA	CL_FCLM_FB2_TOOLS=============CP	CL_FCLM_FB2_TOOLS=============CP
	  1	              4	            4	    <0.01	  <0.01	DB: Open V_MARD_MD	CL_NSDM_SELECT_MARD===========CP	CL_NSDM_SELECT_MARD===========CP
	  1	              4	            4	    <0.01	  <0.01	DB: Fetch USATTRIDDEFDEF	CL_SUID_USER_ATTRIBUTES=======CP	CL_SUID_USER_ATTRIBUTES=======CP
	  1	              4	            4	    <0.01	  <0.01	DB: Open MARA	/SCWM/CL_AF_MATERIAL_S4=======CP	/SCWM/CL_AF_MATERIAL_S4=======CP
	  3	              4	            4	    <0.01	  <0.01	DB: Close INOB	SAPLCLFC	SAPLCLFC
	  1	              4	            4	    <0.01	  <0.01	DB: Open CFIN_MIG_LOG	CL_FIN_CFIN_MIG_LOG===========CP	CL_FIN_CFIN_MIG_LOG===========CP
	  3	              4	            4	    <0.01	  <0.01	DB: Close INOB	SAPLCLFC	SAPLCLFC
	  1	              4	            4	    <0.01	  <0.01	DB: Open ZI_CONSTANTPARAMETERSF	ZCL_MIGO_BADI_HT_MODIFY=======CP	ZCL_MIGO_BADI_HT_MODIFY=======CP
	  1	              4	            4	    <0.01	  <0.01	DB: Open MARA	/SCWM/CL_AF_MATERIAL_S4=======CP	/SCWM/CL_AF_MATERIAL_S4=======CP
	  1	              4	            4	    <0.01	  <0.01	DB: Open CABN	SAPLCLSE	SAPLCLSE
	  2	              4	            4	    <0.01	  <0.01	DB: Close MSTB	SAPLMATL	SAPLMATL
	  3	              4	            4	    <0.01	  <0.01	DB: Close DD01L	RADBTDDF	RADBTDDF
	  4	              4	            4	    <0.01	  <0.01	DB: Close FCLMGLACCOUNTBAMACCOUNT	CL_FQM_ACCOUNT_GENERATE=======CP	CL_FQM_ACCOUNT_GENERATE=======CP
	  3	              4	            4	    <0.01	  <0.01	DB: Close DD01T	RADBTDDF	RADBTDDF
	  2	              4	            4	    <0.01	  <0.01	DB: Close MCHA	SAPFM07M	SAPFM07M
	  2	              4	            4	    <0.01	  <0.01	DB: Close MARCO1	SAPLOIB_MM	SAPLOIB_MM
	  3	              4	            4	    <0.01	  <0.01	DB: Fetch /SYCLO/YCA002	/SYCLO/CL_CORE_BOM_EXCHOBJ====CP	/SYCLO/CL_CORE_BOM_EXCHOBJ====CP
