Hit List: Data Accesses Internal / ...

	Hits	Gross [microsec]	Net [microsec]	Gross [%]	Net [%]	Statement/Event	Program Called	Calling Program
	 16	             44	           44	    <0.01	  <0.01	DB Buffer: Open TABL OPEN	SAPFM07M	SAPFM07M
	  7	             44	           44	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLCLMA	SAPLCLMA
	  6	             44	           44	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	/SCWM/SAPLCORE_CUST_SEL	/SCWM/SAPLCORE_CUST_SEL
	 10	             44	           44	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	CL_FML_ERD_SETTINGS===========CP	CL_FML_ERD_SETTINGS===========CP
	 88	            234	           43	    <0.01	  <0.01	Select Single T006D	SAPLSCV0	SAPLSCV0
	  2	          3,245	           43	     0.04	  <0.01	DB Buffer: Get TABLP GET	/SCWM/R_INITIALSTOCKUPLOAD	/SCWM/R_INITIALSTOCKUPLOAD
	 47	            122	           42	    <0.01	  <0.01	Select Single SXS_ATTR	CL_BADI_FLT_DATA_TRANS_AND_DB=CP	CL_BADI_FLT_DATA_TRANS_AND_DB=CP
	  6	             42	           42	    <0.01	  <0.01	DB Buffer: Get TABLP GET	/SCWM/CL_BATCH_APPL===========CP	/SCWM/CL_BATCH_APPL===========CP
	  7	             42	           42	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLEINQ	SAPLEINQ
	  7	             41	           41	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	CL_FIN_CFIN_CUST==============CP	CL_FIN_CFIN_CUST==============CP
	  4	             41	           41	    <0.01	  <0.01	DB Buffer: Get TABLP GET	/SCWM/R_INITIALSTOCKUPLOAD	/SCWM/R_INITIALSTOCKUPLOAD
	 15	             41	           41	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	/SYCLO/CL_CORE_BAPI_TOOLS=====CP	/SYCLO/CL_CORE_BAPI_TOOLS=====CP
	  7	             41	           41	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLITSR	SAPLITSR
	  5	             41	           41	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	CL_FML_ACDOCA_M_EXTRACT_UTIL==CP	CL_FML_ACDOCA_M_EXTRACT_UTIL==CP
	  1	          1,634	           40	     0.02	  <0.01	Select Count(*) ALE_BATCHES_SENT	SAPLVBWP	SAPLVBWP
	  7	             40	           40	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	CL_FINS_ACDOC_UTIL============CP	CL_FINS_ACDOC_UTIL============CP
	  6	             40	           40	    <0.01	  <0.01	DB Buffer: Open TABL OPEN	CL_SALV_GUI_UI_FUNCTION_TOOLS=CP	CL_SALV_GUI_UI_FUNCTION_TOOLS=CP
	  1	             40	           40	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_FINS_TRR_CONTROL===========CP	CL_FINS_TRR_CONTROL===========CP
	  7	             40	           40	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLSNR3	SAPLSNR3
	  9	             39	           39	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	CL_EXITHANDLER================CP	CL_EXITHANDLER================CP
	  1	             45	           39	    <0.01	  <0.01	Open Cursor USR21	SAPLSUU1	SAPLSUU1
	  6	             38	           38	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	CL_FINS_CUST_CONSISTENCY_CHECKCP	CL_FINS_CUST_CONSISTENCY_CHECKCP
	  6	             38	           38	    <0.01	  <0.01	DB Buffer: Open TABL OPEN	CL_SALV_GUI_UI_FUNCTION_TOOLS=CP	CL_SALV_GUI_UI_FUNCTION_TOOLS=CP
	 33	            230	           38	    <0.01	  <0.01	Select Single TFDIR	SAPLSUNI	SAPLSUNI
	  2	          2,124	           38	     0.03	  <0.01	DB Buffer: Get TABLP GET	SAPLCTMS	SAPLCTMS
	 75	            270	           38	    <0.01	  <0.01	Select Single SXC_IMPSWH	CL_EXIT_MASTER================CP	CL_EXIT_MASTER================CP
	  4	             37	           37	    <0.01	  <0.01	DB Buffer: Get TABLP GET	/SCWM/R_INITIALSTOCKUPLOAD	/SCWM/R_INITIALSTOCKUPLOAD
	  2	             37	           37	    <0.01	  <0.01	Import From Memory /SCWM/S_STOCK_UPLOAD_OUT SAPLSSN1	SAPLSSN1	SAPLSSN1
	  4	             37	           37	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	SAPLSOTR_DB_READ	SAPLSOTR_DB_READ
	199	             67	           37	    <0.01	  <0.01	Fetch DD07L	SAPLSDEX	SAPLSDEX
	  1	            505	           37	     0.01	  <0.01	DB Buffer: Load TABL LOAD	SAPFM07M	SAPFM07M
	  1	             43	           37	    <0.01	  <0.01	Open Cursor USR01	SAPLSUU1	SAPLSUU1
	 84	            217	           37	    <0.01	  <0.01	Select Single TADIR	SAPLSEXE	SAPLSEXE
	  6	             36	           36	    <0.01	  <0.01	Export To Memory BSVA_BUFFER	SAPLCRMBSVA	SAPLCRMBSVA
	 33	             36	           36	    <0.01	  <0.01	Import From Memory FUNCTION_LIB	SAPLSUNI	SAPLSUNI
	 10	             36	           36	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLCOWIPB	SAPLCOWIPB
	  4	             80	           36	    <0.01	  <0.01	Abap Sql T156F	SAPLMBMV	SAPLMBMV
	  7	             36	           36	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLMESS	SAPLMESS
	  6	             35	           35	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	CL_DEST_RFC===================CP	CL_DEST_RFC===================CP
	 63	             89	           35	    <0.01	  <0.01	Fetch TOLE	SAPLOLEA	SAPLOLEA
	  2	          1,487	           35	     0.02	  <0.01	DB Buffer: Get TABLP GET	/LIME/SAPLQUERY	/LIME/SAPLQUERY
	  1	          1,452	           34	     0.02	  <0.01	DB Buffer: Load TABL LOAD	/LIME/SAPLQUERY	/LIME/SAPLQUERY
	  3	             34	           34	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	CL_FML_ACDOCA_M_EXTRACT_UTIL==CP	CL_FML_ACDOCA_M_EXTRACT_UTIL==CP
	  4	             34	           34	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	SAPLBD22	SAPLBD22
	  6	             34	           34	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	SAPLRWIN	SAPLRWIN
	 34	             34	           34	    <0.01	  <0.01	DB Buffer: Close TABL CLOSE(Q)	ZCL_DEFAULT_HT_GOODSMVT_CREATECP	ZCL_DEFAULT_HT_GOODSMVT_CREATECP
	  5	             34	           34	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLRHFE	SAPLRHFE
	  5	             34	           34	    <0.01	  <0.01	DB Buffer: Open TABL OPEN	/SCWM/R_INITIALSTOCKUPLOAD	/SCWM/R_INITIALSTOCKUPLOAD
	 16	             33	           33	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLOIB_QCI	SAPLOIB_QCI
	  9	             33	           33	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	CL_FML_ADMIN_UTIL=============CP	CL_FML_ADMIN_UTIL=============CP
	  1	          1,909	           33	     0.02	  <0.01	Insert BALHDR	SAPLSBAL_DB_INTERNAL	SAPLSBAL_DB_INTERNAL
	 34	            118	           33	    <0.01	  <0.01	Fetch MARCO1	SAPLOIB_MM	SAPLOIB_MM
	  1	            717	           33	     0.01	  <0.01	DB Buffer: Load TABL LOAD	/SCWM/CL_BATCH_APPL===========CP	/SCWM/CL_BATCH_APPL===========CP
	  5	             55	           33	    <0.01	  <0.01	Fetch FINSC_LD_CMP	CL_FINS_ACDOC_UTIL============CP	CL_FINS_ACDOC_UTIL============CP
	 64	            133	           32	    <0.01	  <0.01	Select Single T006	/QTYW/SAPLTOOLS	/QTYW/SAPLTOOLS
	  6	             32	           32	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPFM07M	SAPFM07M
	 23	             32	           32	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	CL_PAK_PACKAGE_QUERIES========CP	CL_PAK_PACKAGE_QUERIES========CP
	  4	             32	           32	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	SAPLFACS	SAPLFACS
	  6	             32	           32	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	CL_FINS_ACDOC_UTIL============CP	CL_FINS_ACDOC_UTIL============CP
	  2	             32	           32	    <0.01	  <0.01	Import From Memory cntl_list	SAPLCNTH	SAPLCNTH
	 10	             32	           32	    <0.01	  <0.01	DB Buffer: Get TABLP GET	SAPLCKMV	SAPLCKMV
	  1	            490	           32	     0.01	  <0.01	DB Buffer: Load TABL LOAD	ZCL_MIGO_BADI_HT_MODIFY=======CP	ZCL_MIGO_BADI_HT_MODIFY=======CP
	  4	             32	           32	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLSBAL_SERVICE	SAPLSBAL_SERVICE
	  2	             32	           32	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	CL_FINS_ACDOC_UTIL============CP	CL_FINS_ACDOC_UTIL============CP
	 63	            158	           31	    <0.01	  <0.01	Open Cursor TOLE	SAPLOLEA	SAPLOLEA
	  5	             31	           31	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLSAKO	SAPLSAKO
	 26	            113	           31	    <0.01	  <0.01	Select Single FINSC_LD_CMP	CL_FINS_ACDOC_UTIL============CP	CL_FINS_ACDOC_UTIL============CP
	  2	             31	           31	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	SAPFM07M	SAPFM07M
	 10	             31	           31	    <0.01	  <0.01	DB Buffer: Get TABLP GET	CL_SWF_EVT_STRATEGY_INTERN_RFCCP	CL_SWF_EVT_STRATEGY_INTERN_RFCCP
	  2	             31	           31	    <0.01	  <0.01	DB Buffer: Get TABLP GET	SAPLCKM3	SAPLCKM3
	  1	             31	           31	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	SAPLSEOC	SAPLSEOC
	 16	             31	           31	    <0.01	  <0.01	DB Buffer: Get TABL GET	CL_RLFW_SYSTEM_RUNLEVEL=======CP	CL_RLFW_SYSTEM_RUNLEVEL=======CP
	  1	             31	           31	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_ACE_CFG_DB_BUFFER==========CP	CL_ACE_CFG_DB_BUFFER==========CP
	  7	             31	           31	    <0.01	  <0.01	DB Buffer: Get TABLP GET	SAPMM07M	SAPMM07M
	  1	             34	           31	    <0.01	  <0.01	Select Single T001W	SAPLCKM4	SAPLCKM4
	  8	             31	           31	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	SAPLITSR	SAPLITSR
	  1	             36	           31	    <0.01	  <0.01	Select Single T001W	CL_FCML4H_ACTUAL_COSTING======CP	CL_FCML4H_ACTUAL_COSTING======CP
	 32	            198	           30	    <0.01	  <0.01	Select Single OIB01	SAPLOIB_QCI	SAPLOIB_QCI
	  1	             54	           30	    <0.01	  <0.01	Abap Sql /SCWM/T300	SAPLSNR1	SAPLSNR1
	  1	            492	           30	     0.01	  <0.01	DB Buffer: Load TABL LOAD	ZCL_JVA_FI_DOC_DFTCO_IMP======CP	ZCL_JVA_FI_DOC_DFTCO_IMP======CP
	 12	             30	           30	    <0.01	  <0.01	DB Buffer: Get TABLP GET	YCL_MB_DOCUMENT_BADI==========CP	YCL_MB_DOCUMENT_BADI==========CP
	  2	             30	           30	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	/SYCLO/SAPLUPD_CORE	/SYCLO/SAPLUPD_CORE
	  2	             30	           30	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	SAPLSKBS	SAPLSKBS
	  2	             30	           30	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	CL_FINS_ACDOC_UTIL============CP	CL_FINS_ACDOC_UTIL============CP
	 63	             30	           30	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	SAPLOLEA	SAPLOLEA
	199	             30	           30	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	SAPLSDEX	SAPLSDEX
	  1	            986	           30	     0.01	  <0.01	DB Buffer: Load TABL LOAD	SAPFM07M	SAPFM07M
	 11	             30	           30	    <0.01	  <0.01	DB Buffer: Get TABLP GET	SAPLOI0_BAPI_GOODS_MOVEMENT	SAPLOI0_BAPI_GOODS_MOVEMENT
	  8	             30	           30	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLFAGL_SETTINGS	SAPLFAGL_SETTINGS
	  1	             30	           30	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_FINS_TRR_CONTROL===========CP	CL_FINS_TRR_CONTROL===========CP
	  1	          1,601	           29	     0.02	  <0.01	Modify BALDAT	SAPLSBAL_DB_INTERNAL	SAPLSBAL_DB_INTERNAL
	  1	          1,092	           29	     0.01	  <0.01	Select Single USR_ATTR_ID	CL_SUID_USER_ATTRIBUTES=======CP	CL_SUID_USER_ATTRIBUTES=======CP
	  1	          1,276	           29	     0.02	  <0.01	Select Single INOB	SAPLCUOB	SAPLCUOB
	 12	             29	           29	    <0.01	  <0.01	Import From Shared Buffer YY/SCWM/ORDIM_C MMIM_BUDAT_M	CL_DSH_DDIC_ASSIGNMENT========CP	CL_DSH_DDIC_ASSIGNMENT========CP
	  4	             29	           29	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	SAPLMBMV	SAPLMBMV
	  8	             28	           28	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	CL_FINS_ACDOC_ML_ENRICH=======CP	CL_FINS_ACDOC_ML_ENRICH=======CP
	  8	             28	           28	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	SAPLITSR	SAPLITSR
	  4	             28	           28	    <0.01	  <0.01	Export To Shared Buffer 801EBSP_INFO 0000040002000000000	CONTEXT_X_SP_INFO	CONTEXT_X_SP_INFO
	  2	             28	           28	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	YCL_MB_MIGO_BADI_LOGIC========CP	YCL_MB_MIGO_BADI_LOGIC========CP
	 12	             28	           28	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLFAGL_REPRESENTIV_LEDGER	SAPLFAGL_REPRESENTIV_LEDGER
	  3	             28	           28	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	SAPLRKSR	SAPLRKSR
	  3	            520	           28	     0.01	  <0.01	DB Buffer: Get TABLP GET	ZCL_JVA_FI_DOC_DFTCO_IMP======CP	ZCL_JVA_FI_DOC_DFTCO_IMP======CP
	 49	            541	           28	     0.01	  <0.01	Abap Sql V_EXT_IMP	CL_EXIT_MASTER================CP	CL_EXIT_MASTER================CP
	  1	             35	           28	    <0.01	  <0.01	Select Single SWFDEVENA	/SAPCEM/CL_IM_MM_EVENT_CRE====CP	/SAPCEM/CL_IM_MM_EVENT_CRE====CP
	  3	            562	           28	     0.01	  <0.01	DB Buffer: Get TABLP GET	ZCL_JVA_FI_DOC_DFTCO_IMP======CP	ZCL_JVA_FI_DOC_DFTCO_IMP======CP
	  2	            744	           27	     0.01	  <0.01	DB Buffer: Get TABLP GET	/SCWM/CL_BATCH_APPL===========CP	/SCWM/CL_BATCH_APPL===========CP
	 14	             27	           27	    <0.01	  <0.01	Import From Shared Buffer %FBAL_S_SHOWE SEQ_NO S	SAPLSLVC	SAPLSLVC
	 23	             27	           27	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	CL_PAK_PACKAGE_QUERIES========CP	CL_PAK_PACKAGE_QUERIES========CP
	  5	             27	           27	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	CL_FINS_ACDOC_UTIL============CP	CL_FINS_ACDOC_UTIL============CP
	  1	             27	           27	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	CL_ACE_CFG_DB_BUFFER==========CP	CL_ACE_CFG_DB_BUFFER==========CP
	  4	             27	           27	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	SAPLSUGS	SAPLSUGS
	  4	             27	           27	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	CL_SHM_SERVICE================CP	CL_SHM_SERVICE================CP
	 40	             82	           27	    <0.01	  <0.01	Select Single CRMC_SALES_ITEM	SAPLCRM_ORDER_CB	SAPLCRM_ORDER_CB
	 47	            340	           27	    <0.01	  <0.01	Open Cursor V_EXT_ACT	CL_BADI_FLT_DATA_TRANS_AND_DB=CP	CL_BADI_FLT_DATA_TRANS_AND_DB=CP
	 25	            155	           26	    <0.01	  <0.01	Select Single T001K	SAPLMG27	SAPLMG27
	  6	             33	           26	    <0.01	  <0.01	Close Cursor RFCCBWHITELIST	CL_DEST_RFC===================CP	CL_DEST_RFC===================CP
	 38	             27	           26	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	ZCL_JVA_FI_DOC_DFTCO_IMP======CP	ZCL_JVA_FI_DOC_DFTCO_IMP======CP
	  7	             26	           26	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLSXCH	SAPLSXCH
	  2	             26	           26	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	CL_ADDR_CHECK=================CP	CL_ADDR_CHECK=================CP
	 49	            335	           26	    <0.01	  <0.01	Open Cursor V_EXT_IMP	CL_EXIT_MASTER================CP	CL_EXIT_MASTER================CP
	  7	             26	           26	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	CL_FINS_SIF_SERVICES==========CP	CL_FINS_SIF_SERVICES==========CP
	  1	          1,245	           26	     0.02	  <0.01	Select Single USATTRIDDEF_DEFAULT	CL_SUID_USER_ATTRIBUTES=======CP	CL_SUID_USER_ATTRIBUTES=======CP
	 64	            117	           25	    <0.01	  <0.01	Select Single T006_OIB	/QTYW/SAPLTOOLS	/QTYW/SAPLTOOLS
	 32	            136	           25	    <0.01	  <0.01	Open Cursor OIB04	SAPLOIB_QCI	SAPLOIB_QCI
	  4	             25	           25	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	CL_FINS_ACDOC_ML_UTIL=========CP	CL_FINS_ACDOC_ML_UTIL=========CP
	110	             25	           25	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	SAPLCRM_ORDER_CB	SAPLCRM_ORDER_CB
	110	             50	           25	    <0.01	  <0.01	Fetch CRMC_IT_ASSIGN	SAPLCRM_ORDER_CB	SAPLCRM_ORDER_CB
	  6	             25	           25	    <0.01	  <0.01	Import From Memory %_HD_TCODE S	SAPSHDTV	SAPSHDTV
	  4	             25	           25	    <0.01	  <0.01	Export To Memory SN_STATS	SAPLBSVA	SAPLBSVA
	  3	             25	           25	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	SAPLSZA0	SAPLSZA0
	 13	             25	           25	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	CL_FML_TOGGLE=================CP	CL_FML_TOGGLE=================CP
	  2	             24	           24	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	CL_FINS_CUST_CONSISTENCY_DATA=CP	CL_FINS_CUST_CONSISTENCY_DATA=CP
	  4	             24	           24	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	/SMFND/CL_CORE_EXOBJ_TOOLS====CP	/SMFND/CL_CORE_EXOBJ_TOOLS====CP
	  5	             24	           24	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	CL_FINS_ACDOC_UTIL============CP	CL_FINS_ACDOC_UTIL============CP
	 32	            116	           24	    <0.01	  <0.01	Select Single /QTYW/API_RDW	/QTYW/SAPLTOOLS	/QTYW/SAPLTOOLS
	  4	             24	           24	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLSEOC	SAPLSEOC
	  6	             24	           24	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	CL_FINCS_ACCTG_INTEG_READER===CP	CL_FINCS_ACCTG_INTEG_READER===CP
	  5	             24	           24	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	CL_FIN_RE_RULE_REPO_FACTORY===CP	CL_FIN_RE_RULE_REPO_FACTORY===CP
	  2	             24	           24	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	/SYCLO/CB_CORE_PERS_CA002D====CP	/SYCLO/CB_CORE_PERS_CA002D====CP
	 12	             24	           24	    <0.01	  <0.01	DB Buffer: Open TABL OPEN	CL_SALV_GUI_UI_FUNCTION_TOOLS=CP	CL_SALV_GUI_UI_FUNCTION_TOOLS=CP
	  7	             24	           24	    <0.01	  <0.01	DB Buffer: Get TABLP GET	SAPLCKM3	SAPLCKM3
	  5	          1,010	           24	     0.01	  <0.01	DB Buffer: Get TABLP GET	SAPFM07M	SAPFM07M
	  1	             23	           23	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	SAPLGORG	SAPLGORG
	  7	             23	           23	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	SAPLCRM_ORDER_CB	SAPLCRM_ORDER_CB
	  4	             23	           23	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	SAPLMBGB	SAPLMBGB
	  4	             23	           23	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLKONT	SAPLKONT
	  1	          1,387	           23	     0.02	  <0.01	Delete DDANNOENTITY	CL_DD_DDL_ANNOTATION_SERVICE==CP	CL_DD_DDL_ANNOTATION_SERVICE==CP
	  4	             23	           23	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	SAPLSBAL_SERVICE	SAPLSBAL_SERVICE
	 63	            161	           23	    <0.01	  <0.01	Close Cursor TOLE	SAPLOLEA	SAPLOLEA
	  5	             23	           23	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	CL_FIN_CFIN_CPAY_ACTVTN_DAO===CP	CL_FIN_CFIN_CPAY_ACTVTN_DAO===CP
	  4	             23	           23	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPFM07M	SAPFM07M
	  4	             22	           22	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLFAGL_SEGMENT	SAPLFAGL_SEGMENT
	  1	             29	           22	    <0.01	  <0.01	Open Cursor APOC_I_OBJECT_TYPE_CONFIG	CL_APOC_OUTPUT_TYPE_CONFIG====CP	CL_APOC_OUTPUT_TYPE_CONFIG====CP
	  8	             22	           22	    <0.01	  <0.01	DB Buffer: Open TABL OPEN	SAPFM07M	SAPFM07M
	  6	             22	           22	    <0.01	  <0.01	DB Buffer: Get TABLP GET	SAPLCKMT	SAPLCKMT
	  5	             22	           22	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	CL_FML_ADMIN_UTIL=============CP	CL_FML_ADMIN_UTIL=============CP
	  3	             22	           22	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	CL_FINS_ACDOC_SUMMARIZATION===CP	CL_FINS_ACDOC_SUMMARIZATION===CP
	  1	             29	           22	    <0.01	  <0.01	Open Cursor DRAD	SAPLCVOB	SAPLCVOB
	  7	             22	           22	    <0.01	  <0.01	DB Buffer: Get TABLP GET	SAPLGLT0	SAPLGLT0
	  2	             22	           22	    <0.01	  <0.01	Import From Memory BSVA_BUFFER	/SCWM/SAPLHUMAIN	/SCWM/SAPLHUMAIN
	 47	            494	           22	     0.01	  <0.01	Abap Sql V_EXT_ACT	CL_BADI_FLT_DATA_TRANS_AND_DB=CP	CL_BADI_FLT_DATA_TRANS_AND_DB=CP
	  1	             22	           22	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	SAPLMD06	SAPLMD06
	  6	          3,314	           22	     0.04	  <0.01	Fetch RFCCBWHITELIST	CL_DEST_RFC===================CP	CL_DEST_RFC===================CP
	 47	             70	           22	    <0.01	  <0.01	Fetch V_EXT_ACT	CL_BADI_FLT_DATA_TRANS_AND_DB=CP	CL_BADI_FLT_DATA_TRANS_AND_DB=CP
	  4	             22	           22	    <0.01	  <0.01	DB Buffer: Open TABL OPEN	/SCWM/CL_BATCH_APPL===========CP	/SCWM/CL_BATCH_APPL===========CP
	  1	             22	           22	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	SAPLCRM_ORDER_CB	SAPLCRM_ORDER_CB
	  6	             22	           22	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	CL_JVA_SWITCH_CHECK===========CP	CL_JVA_SWITCH_CHECK===========CP
	  3	             22	           22	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	/SCWM/R_INITIALSTOCKUPLOAD	/SCWM/R_INITIALSTOCKUPLOAD
	 25	             22	           22	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_FINS_ACDOC_UTIL============CP	CL_FINS_ACDOC_UTIL============CP
	  1	             28	           22	    <0.01	  <0.01	Open Cursor /SYCLO/YCA000ST	/SYCLO/CL_CORE_BOM_MOBILEAPP==CP	/SYCLO/CL_CORE_BOM_MOBILEAPP==CP
	  4	             21	           21	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPMM07M	SAPMM07M
	  2	             21	           21	    <0.01	  <0.01	Import From Memory HUUPDATE	SAPLCRMBSVA	SAPLCRMBSVA
	  5	             26	           21	    <0.01	  <0.01	Close Cursor V_MBEW_MD	/SCWM/CL_ERP_PI_S4============CP	/SCWM/CL_ERP_PI_S4============CP
	  1	             21	           21	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_FQM_CFG_ORIGIN_APPLICATIONCCP	CL_FQM_CFG_ORIGIN_APPLICATIONCCP
	  5	             21	           21	    <0.01	  <0.01	DB Buffer: Get TABLP GET	SAPLMATL	SAPLMATL
	  6	             21	           21	    <0.01	  <0.01	DB Buffer: Close TABL CLOSE(Q)	SAPLRWIN	SAPLRWIN
	  5	             21	           21	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	CL_FINS_CO_CONFIG_MAPPING_UTILCP	CL_FINS_CO_CONFIG_MAPPING_UTILCP
	  2	             74	           21	    <0.01	  <0.01	Fetch NRIV	SAPLSNR3	SAPLSNR3
	  2	             21	           21	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	/SYCLO/CB_CORE_PERS_CA002=====CP	/SYCLO/CB_CORE_PERS_CA002=====CP
	  4	             21	           21	    <0.01	  <0.01	Import From Shared Buffer YY/SCWM/R_INITIALSTOCKUPLOAD 01	CL_DSH_SCREEN_ASSIGNMENT======CP	CL_DSH_SCREEN_ASSIGNMENT======CP
	 37	             94	           21	    <0.01	  <0.01	Select Single FINSC_CURTYPE	CL_FINS_VALUTYP===============CP	CL_FINS_VALUTYP===============CP
	  1	             21	           21	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_FAA_CFG_DB_ACCESS==========CP	CL_FAA_CFG_DB_ACCESS==========CP
	  1	             21	           21	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_I18N_BIDI==================CP	CL_I18N_BIDI==================CP
	  4	             21	           21	    <0.01	  <0.01	DB Buffer: Get TABLP GET	SAPMM07M	SAPMM07M
	 11	             21	           21	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	CL_CRMS4_CO_SRV_CUST_READ=====CP	CL_CRMS4_CO_SRV_CUST_READ=====CP
	  4	            104	           21	    <0.01	  <0.01	Abap Sql T156F	SAPLMBMV	SAPLMBMV
	  2	             20	           20	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPMM07M	SAPMM07M
	  4	             20	           20	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLKONT	SAPLKONT
